column,test,statistic,p_value,drift_detected
price,KS-test,0.089,0.0127,True
area,Chi-square,13800000234.1983,0.0,True
build_year,KS-test,0.0459,0.5052,False
price_per_sqft,KS-test,0.1389,0.0,True
size_sqft,KS-test,0.0337,0.8526,False
street,Chi-square,331999999435.0914,0.0,True
n_bedrooms,KS-test,0.009,1.0,False
n_bathrooms,KS-test,0.018,0.9999,False
district,Chi-square,211.0419,0.0,True
region,Chi-square,32.0963,0.0,True
scraped_date,Chi-square,24087399998064.0,0.0,True
flat_age,KS-test,0.0459,0.5052,False
lease_remaining,KS-test,0.0459,0.5052,False
price_per_bedroom,KS-test,0.1058,0.0016,True
size_per_room,KS-test,0.0452,0.5229,False
bed_bath_ratio,KS-test,0.0138,1.0,False
scraped_month,KS-test,0.796,0.0,True
scraped_year,KS-test,0.0,1.0,False
is_central,KS-test,0.0433,0.5803,False
is_mature_town,KS-test,0.0363,0.785,False
age_size_interaction,KS-test,0.0495,0.4089,False
lease_price_interaction,KS-test,0.0953,0.0061,True
block,Chi-square,254199998655.7546,0.0,True
